id,publisher_id,title,category,origin,mrp,price,image_url,description,status,created_at,isbn,sku,top_category,subcategory,age_band,binding,no_of_pages,publisher_name,video_link,flipbook_link,opening_inventory,track_inventory,cover_url
7c7ff248-b718-482d-8025-45b57ee7e751,null,Aao Hindi Likhen-Swar avm Vyanjan,null,null,null,215,https://www.booksatdoorsteps.online/covers/938443804-9.Aao%20Hindi%20Likhen-Swar%20avm%20Vyanjan.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443804-9,AAHILI,Kids Learning,Ukg; Activities; Hindi activities; Words and sentence formation in Hindi,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443804-9.Aao%20Hindi%20Likhen-Swar%20avm%20Vyanjan.png.png
90b7d166-20a1-469f-bff6-a406a2a93dc8,null,Math Smart-2,null,null,null,143,https://www.booksatdoorsteps.online/covers/938443805-7.Math%20Smart-2.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443805-7,MASM2,Kids Learning,Activities; Maths activities; Mental Mathematic,Junior KS2 (7-11),Paperback,116,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443805-7.Math%20Smart-2.png.png
dbebc8cc-1c9a-4e75-8e1a-cb9782bf34d8,null,Numbers Around me,null,null,null,223,https://www.booksatdoorsteps.online/covers/938443853-7.Numbers%20Around%20me.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,938443853-7,NUARME,Kids Learning,Nursery; Numbers activities; General awareness,Infants KS1 (5-7),Paperback,96,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443853-7.Numbers%20Around%20me.png.jpg
d8aaa99e-5f95-4fb2-9566-a742d3a7c42d,null,Math Smart-3,null,null,null,143,https://www.booksatdoorsteps.online/covers/938443806-5.Math%20Smart-3.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443806-5,MASM3,Kids Learning,Activities; Maths activities; Mental Mathematic,Junior KS2 (7-11),Paperback,116,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443806-5.Math%20Smart-3.png.png
c1d36116-1ae1-4e23-8837-baf3aea2d36e,null,Enjoy Colouring-2,null,null,null,88,https://www.booksatdoorsteps.online/covers/938443807-3.Enjoy%20Colouring-2.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443807-3,ENCO2,Kids Learning,Lkg; Colouring,Infants KS1 (5-7),Paperback,32,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443807-3.Enjoy%20Colouring-2.png.png
f3f93985-d4bc-4f07-a844-fdd936ceda39,null,Enjoy Colouring-3,null,null,null,88,https://www.booksatdoorsteps.online/covers/938443808-1.Enjoy%20Colouring-3.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443808-1,ENCO3,Kids Learning,Lkg; Colouring,Infants KS1 (5-7),Paperback,32,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443808-1.Enjoy%20Colouring-3.png.png
b23a137d-cc30-4de6-80ae-26487ac90ed7,null,Word Around ME level-1,null,null,null,223,https://www.booksatdoorsteps.online/covers/938443809-x.Word%20Around%20ME%20level-1.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443809-X,WOARM,Kids Learning,Lkg; Nursery; Evs; General knowledge; vocabulary development,Infants KS1 (5-7),Paperback,96,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443809-x.Word%20Around%20ME%20level-1.png.png
1bfa368e-502e-4958-a6e8-22e50363ee19,null,World Around me(3-5),null,null,null,199,https://www.booksatdoorsteps.online/covers/938443810-3.World%20Around%20me%283-5%29.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,938443810-3,WOARME,Kids Learning,Lkg; Nursery; Evs; General knowledge; vocabulary development,Foundation Stage (3-5),Paperback,88,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443810-3.World%20Around%20me%283-5%29.png.jpg
f1076f1b-a17f-4477-8d7e-cba26cb1006d,null,World Around me (5-7),null,null,null,199,https://www.booksatdoorsteps.online/covers/938443811-1.World%20Around%20me%20%285-7%29.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,938443811-1,WOARM1,Kids Learning,Lkg; Nursery; Evs; General knowledge; vocabulary development,Infants KS1 (5-7),Paperback,88,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443811-1.World%20Around%20me%20%285-7%29.png.jpg
e89cc19c-6c4e-48df-90d2-e3595d800e3d,null,ALL IN ONE,null,null,null,271,https://www.booksatdoorsteps.online/covers/938443812-X.ALL%20IN%20ONE.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443812-X,XALINO,Kids Learning,Lkg; Ukg; Activities; Alphabet activities; Numbers activities; General knowledge,Foundation Stage (3-5),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443812-X.ALL%20IN%20ONE.png.png
